Date,Close/Last,Volume,Open,High,Low
06/13/2025,$178.75,432042,$178.50,$179.98,$178.17
06/12/2025,$181.99,385859,$182.25,$182.40,$181.32
06/11/2025,$182.61,322127,$184.27,$184.58,$182.61
06/10/2025,$185.25,405883,$184.00,$185.33,$183.43
06/09/2025,$183.94,335874,$183.64,$184.33,$183.02
06/06/2025,$185.14,307873,$184.94,$185.655,$184.685
06/05/2025,$184.40,509057,$185.44,$185.95,$183.62
06/04/2025,$187.96,598104,$189.54,$190.155,$187.96
06/03/2025,$191.40,577309,$189.00,$192.45,$188.60
06/02/2025,$189.14,375026,$187.80,$189.14,$187.80
05/30/2025,$190.57,396583,$190.14,$191.2999,$189.30
05/29/2025,$186.11,392575,$186.48,$186.99,$184.87
05/28/2025,$182.88,400907,$183.00,$183.83,$182.44
05/27/2025,$186.68,331124,$185.04,$186.95,$185.04
05/23/2025,$182.30,485206,$181.25,$182.34,$180.655
05/22/2025,$182.82,378945,$181.99,$183.76,$181.13
05/21/2025,$184.47,257408,$185.72,$186.70,$184.31
05/20/2025,$186.36,309961,$186.15,$186.42,$185.41
05/19/2025,$185.32,289837,$183.19,$185.32,$183.0534
05/16/2025,$183.19,355694,$182.58,$183.63,$182.19
05/15/2025,$183.45,451728,$182.30,$183.81,$181.95
05/14/2025,$187.00,487847,$188.17,$188.61,$186.49
05/13/2025,$193.97,370546,$192.75,$194.33,$192.22
05/12/2025,$192.32,387603,$190.97,$192.91,$190.70
05/09/2025,$187.53,465261,$186.44,$187.82,$186.10
05/08/2025,$187.92,709883,$185.82,$191.4097,$185.54
05/07/2025,$188.90,303019,$189.82,$190.23,$188.3799
05/06/2025,$192.43,301414,$192.18,$193.67,$191.85
05/05/2025,$192.48,204035,$192.09,$193.875,$192.09
05/02/2025,$192.24,225487,$192.97,$192.97,$190.72
05/01/2025,$190.58,327023,$191.23,$191.865,$190.27
04/30/2025,$191.22,343876,$189.91,$191.735,$188.55
04/29/2025,$195.39,422018,$194.68,$195.78,$193.59
04/28/2025,$193.13,554375,$193.895,$194.54,$192.379
04/25/2025,$188.21,378288,$188.07,$188.46,$186.01
04/24/2025,$186.61,433901,$185.49,$186.82,$183.65
04/23/2025,$181.43,336162,$182.50,$184.06,$181.26
04/22/2025,$178.70,359375,$176.65,$178.9972,$176.585
04/21/2025,$174.52,331594,$175.53,$175.6957,$172.6613
04/17/2025,$176.38,330259,$175.34,$177.82,$175.34
04/16/2025,$175.10,384875,$175.65,$177.47,$173.72
04/15/2025,$174.24,427803,$174.55,$176.50,$173.94
04/14/2025,$172.00,423648,$169.11,$173.0699,$168.93
04/11/2025,$169.42,486935,$167.44,$170.00,$165.86
04/10/2025,$167.22,736138,$169.45,$169.68,$163.71
04/09/2025,$174.14,1149147,$160.91,$174.48,$160.00
04/08/2025,$159.32,624540,$167.27,$167.855,$157.61
04/07/2025,$160.34,1022774,$155.25,$166.11,$155.00
04/04/2025,$158.63,919788,$159.99,$161.44,$156.73
04/03/2025,$168.07,614145,$170.49,$171.54,$167.50
04/02/2025,$177.31,307923,$176.11,$178.295,$175.24
04/01/2025,$174.42,474743,$175.80,$175.80,$173.37
03/31/2025,$176.53,335931,$175.75,$177.29,$174.66
03/28/2025,$179.07,459563,$180.19,$181.61,$177.79
03/27/2025,$183.98,484989,$184.50,$185.23,$182.52
03/26/2025,$189.28,228506,$191.70,$191.70,$189.075
03/25/2025,$193.01,167515,$192.78,$193.50,$191.925
03/24/2025,$192.47,186585,$191.40,$192.71,$191.40
03/21/2025,$190.70,229174,$190.00,$191.62,$189.48
03/20/2025,$192.17,258851,$190.41,$192.65,$190.20
03/19/2025,$193.14,280826,$192.48,$193.715,$191.758
03/18/2025,$190.20,274848,$189.90,$191.00,$188.94
03/17/2025,$188.41,306987,$186.54,$189.4998,$186.44
03/14/2025,$186.67,274616,$185.75,$186.88,$185.34
03/13/2025,$182.97,363916,$183.80,$184.87,$182.28
03/12/2025,$185.65,255695,$186.53,$186.53,$184.53
03/11/2025,$184.53,294996,$185.69,$186.19,$183.00
03/10/2025,$188.35,347938,$190.04,$190.90,$186.76
03/07/2025,$190.18,280463,$189.59,$190.50,$187.44
03/06/2025,$187.51,467601,$188.51,$189.92,$186.95
03/05/2025,$192.35,634457,$190.45,$192.92,$189.59
03/04/2025,$180.66,436151,$182.52,$183.00,$178.3245
03/03/2025,$183.79,523699,$188.33,$189.11,$182.835
02/28/2025,$181.48,363620,$179.69,$181.53,$179.12
02/27/2025,$182.28,277326,$185.01,$185.70,$182.2532
02/26/2025,$181.21,250383,$181.69,$183.06,$181.16
02/25/2025,$179.46,263343,$180.70,$180.93,$178.135
02/24/2025,$176.62,237802,$177.57,$177.7999,$176.00
02/21/2025,$177.11,639145,$180.17,$180.17,$176.94
02/20/2025,$180.68,176157,$180.50,$180.79,$179.3801
02/19/2025,$180.10,347921,$181.30,$181.31,$179.5981
02/18/2025,$184.07,206935,$184.47,$184.72,$183.72
02/14/2025,$184.24,231510,$185.00,$185.74,$183.455
02/13/2025,$184.01,237842,$183.85,$185.1497,$183.4601
02/12/2025,$182.69,269081,$181.95,$183.52,$181.5289
02/11/2025,$185.74,237289,$184.18,$186.2576,$184.18
02/10/2025,$185.06,172562,$185.96,$186.3699,$184.78
02/07/2025,$183.98,478652,$187.14,$187.70,$183.32
02/06/2025,$190.50,364086,$191.25,$191.60,$189.66
02/05/2025,$195.35,585960,$194.14,$196.62,$192.40
02/04/2025,$187.56,408392,$186.57,$187.56,$185.805
02/03/2025,$183.65,477917,$182.62,$185.86,$181.135
01/31/2025,$188.93,420262,$191.50,$191.84,$188.29
01/30/2025,$190.97,410142,$190.94,$191.72,$189.765
01/29/2025,$186.98,258228,$187.62,$188.04,$186.48
01/28/2025,$185.29,382635,$186.15,$186.40,$184.15
01/27/2025,$186.50,308124,$186.80,$187.06,$185.815
01/24/2025,$186.61,278913,$185.98,$187.46,$185.40
01/23/2025,$186.27,237653,$186.01,$186.70,$185.05
01/22/2025,$186.52,247825,$187.00,$187.50,$186.395
01/21/2025,$186.93,330436,$184.46,$186.93,$184.46
01/17/2025,$180.78,432102,$180.26,$181.39,$179.7173
01/16/2025,$181.48,422396,$181.52,$182.35,$181.25
01/15/2025,$184.84,416639,$186.28,$186.635,$183.9862
01/14/2025,$185.41,326349,$185.56,$185.94,$184.58
01/13/2025,$183.25,310719,$182.24,$183.50,$181.4803
01/10/2025,$183.47,473091,$185.69,$186.35,$183.43
01/08/2025,$192.55,436715,$192.96,$193.02,$191.52
01/07/2025,$193.12,585541,$194.59,$194.9688,$192.42
01/06/2025,$190.39,664416,$193.00,$193.27,$189.84
01/03/2025,$195.25,611381,$194.19,$195.50,$193.23
01/02/2025,$193.12,615743,$194.40,$194.80,$192.00
12/31/2024,$194.61,442617,$195.35,$196.57,$193.94
12/30/2024,$195.66,463609,$198.00,$198.00,$195.61
12/27/2024,$199.52,779542,$200.36,$200.9999,$198.18
12/26/2024,$197.36,1297220,$195.97,$198.00,$193.1323
12/24/2024,$181.43,168580,$181.00,$181.72,$180.83
12/23/2024,$180.45,422688,$179.12,$180.62,$177.97
12/20/2024,$178.17,425694,$175.84,$179.9215,$175.84
12/19/2024,$174.21,405896,$174.86,$175.80,$173.7701
12/18/2024,$173.62,457921,$177.33,$179.3692,$173.55
12/17/2024,$173.28,420959,$174.00,$174.63,$173.28
12/16/2024,$174.25,327358,$174.57,$174.9726,$173.85
12/13/2024,$175.86,226009,$176.17,$176.27,$175.05
12/12/2024,$176.90,214096,$177.94,$178.59,$176.82
12/11/2024,$178.15,290341,$177.30,$178.44,$176.48
12/10/2024,$175.71,237127,$177.01,$177.35,$175.34
12/09/2024,$177.01,375985,$176.35,$178.6015,$176.21
12/06/2024,$175.95,290724,$175.86,$176.24,$175.29
12/05/2024,$174.40,405527,$175.58,$176.15,$174.40
12/04/2024,$174.78,400545,$176.25,$176.25,$174.2506
12/03/2024,$176.00,412181,$176.70,$176.76,$175.57
12/02/2024,$175.81,634891,$173.35,$176.1445,$173.155
11/29/2024,$170.63,247724,$169.80,$170.63,$169.42
11/27/2024,$169.72,478541,$170.08,$170.3472,$169.12
11/26/2024,$172.52,410685,$173.20,$173.43,$172.31
11/25/2024,$175.83,347925,$175.87,$176.56,$175.17
11/22/2024,$174.40,369057,$172.75,$174.78,$172.64
11/21/2024,$173.38,314749,$173.05,$174.26,$172.98
11/20/2024,$172.91,295507,$173.77,$174.21,$171.77
11/19/2024,$175.39,254581,$175.20,$176.09,$175.00
11/18/2024,$174.78,289389,$173.00,$175.82,$172.8444
11/15/2024,$172.84,282329,$173.23,$173.55,$171.78
11/14/2024,$173.48,424919,$173.27,$174.64,$173.0137
11/13/2024,$172.35,268587,$172.31,$172.92,$171.29
11/12/2024,$174.99,324742,$175.84,$176.72,$173.86
11/11/2024,$174.10,310349,$172.48,$174.80,$172.48
11/08/2024,$172.03,504146,$174.35,$174.54,$171.80
11/07/2024,$178.45,638020,$179.00,$179.6788,$177.26
11/06/2024,$175.15,633028,$175.25,$176.00,$172.02
11/05/2024,$174.73,353403,$173.01,$174.81,$172.64
11/04/2024,$172.70,253412,$173.00,$173.89,$172.29
11/01/2024,$172.83,234233,$172.68,$173.69,$172.27
10/31/2024,$173.02,235011,$174.64,$174.64,$172.20
10/30/2024,$175.21,222769,$176.25,$176.33,$175.20
10/29/2024,$176.03,357259,$176.50,$177.15,$175.64
10/28/2024,$176.63,457277,$175.70,$176.88,$175.3095
10/25/2024,$172.00,273877,$171.90,$173.00,$171.59
10/24/2024,$170.43,288576,$170.37,$171.4045,$169.30
10/23/2024,$171.33,398124,$172.00,$172.36,$170.33
10/22/2024,$169.93,393126,$169.58,$170.2999,$169.29
10/21/2024,$169.17,420176,$170.10,$170.2599,$168.655
10/18/2024,$171.53,400413,$171.70,$171.925,$170.6924
10/17/2024,$171.20,516184,$172.48,$172.77,$171.10
10/16/2024,$171.50,508130,$170.76,$171.80,$170.51
10/15/2024,$169.55,858871,$171.605,$171.6823,$169.31
10/14/2024,$175.10,316342,$174.22,$175.39,$174.08
10/11/2024,$174.06,344600,$172.06,$174.52,$171.80
10/10/2024,$174.35,241574,$172.84,$174.58,$172.76
10/09/2024,$173.99,416309,$172.88,$174.36,$171.80
10/08/2024,$175.76,326089,$175.73,$176.99,$174.65
10/07/2024,$177.32,228881,$177.79,$178.22,$176.855
10/04/2024,$180.02,309545,$178.30,$180.51,$177.96
10/03/2024,$176.17,394835,$176.92,$176.92,$175.3901
10/02/2024,$180.50,295144,$179.00,$180.61,$178.55
10/01/2024,$178.06,391166,$179.98,$179.98,$176.87
09/30/2024,$178.57,458900,$179.44,$179.82,$177.37
09/27/2024,$182.82,575172,$184.37,$185.19,$181.70
09/26/2024,$189.36,449748,$188.55,$190.44,$188.4654
